timestamp,cpu_idx,processed,dropped,time_squeeze
1776520981.691783869,0,0x02535271,0x00000000,0x00000000
1776520981.691783869,1,0x0229bfee,0x00000000,0x00000000
1776520981.691783869,2,0x02939925,0x00000000,0x00000000
1776520981.691783869,3,0x0325e139,0x00000000,0x00000000
1776520981.691783869,4,0x01ddc36c,0x00000000,0x00000000
1776520981.691783869,5,0x024fdbfd,0x00000000,0x00000000
1776520981.691783869,6,0x01b87b5e,0x00000000,0x00000000
1776520981.691783869,7,0x01b67ef9,0x00000000,0x00000000
1776520981.691783869,8,0x04085f13,0x00000000,0x00000000
1776520981.691783869,9,0x04ca694a,0x00000000,0x00000000
1776520981.691783869,10,0x02f32c91,0x00000000,0x00000000
1776520981.691783869,11,0x02ecbd91,0x00000000,0x00000000
1776520981.691783869,12,0x01dc8595,0x00000000,0x00000000
1776520981.691783869,13,0x0189d6a1,0x00000000,0x00000000
1776520981.691783869,14,0x030b3d8a,0x00000000,0x00000000
1776520981.691783869,15,0x02ac684b,0x00000000,0x00000000
1776520981.691783869,16,0x00a2e473,0x00000000,0x00000000
1776520981.691783869,17,0x006c0c43,0x00000000,0x00000000
1776520981.691783869,18,0x00774ded,0x00000000,0x00000000
1776520981.691783869,19,0x00a34c8d,0x00000000,0x00000000
1776520982.803580463,0,0x02535271,0x00000000,0x00000000
1776520982.803580463,1,0x0229bfee,0x00000000,0x00000000
1776520982.803580463,2,0x02939959,0x00000000,0x00000000
1776520982.803580463,3,0x0325e139,0x00000000,0x00000000
1776520982.803580463,4,0x01ddc36c,0x00000000,0x00000000
1776520982.803580463,5,0x024fdc0c,0x00000000,0x00000000
1776520982.803580463,6,0x01b87bb3,0x00000000,0x00000000
1776520982.803580463,7,0x01b67f11,0x00000000,0x00000000
1776520982.803580463,8,0x04085f13,0x00000000,0x00000000
1776520982.803580463,9,0x04ca6959,0x00000000,0x00000000
1776520982.803580463,10,0x02f32c91,0x00000000,0x00000000
1776520982.803580463,11,0x02ecbdfa,0x00000000,0x00000000
1776520982.803580463,12,0x01dc85eb,0x00000000,0x00000000
1776520982.803580463,13,0x0189d6a1,0x00000000,0x00000000
1776520982.803580463,14,0x030b3d8a,0x00000000,0x00000000
1776520982.803580463,15,0x02ac684b,0x00000000,0x00000000
1776520982.803580463,16,0x00a2e478,0x00000000,0x00000000
1776520982.803580463,17,0x006c0c52,0x00000000,0x00000000
1776520982.803580463,18,0x00774ded,0x00000000,0x00000000
1776520982.803580463,19,0x00a34c92,0x00000000,0x00000000
1776520984.087600440,0,0x025352bd,0x00000000,0x00000000
1776520984.087600440,1,0x0229bfee,0x00000000,0x00000000
1776520984.087600440,2,0x02939997,0x00000000,0x00000000
1776520984.087600440,3,0x0325e143,0x00000000,0x00000000
1776520984.087600440,4,0x01ddc3b7,0x00000000,0x00000000
1776520984.087600440,5,0x024fdc32,0x00000000,0x00000000
1776520984.087600440,6,0x01b87c05,0x00000000,0x00000000
1776520984.087600440,7,0x01b67f29,0x00000000,0x00000000
1776520984.087600440,8,0x04085f13,0x00000000,0x00000000
1776520984.087600440,9,0x04ca6974,0x00000000,0x00000000
1776520984.087600440,10,0x02f32c93,0x00000000,0x00000000
1776520984.087600440,11,0x02ecbe5c,0x00000000,0x00000000
1776520984.087600440,12,0x01dc85eb,0x00000000,0x00000000
1776520984.087600440,13,0x0189d6a1,0x00000000,0x00000000
1776520984.087600440,14,0x030b3d8a,0x00000000,0x00000000
1776520984.087600440,15,0x02ac684b,0x00000000,0x00000000
1776520984.087600440,16,0x00a33b00,0x00000000,0x00000000
1776520984.087600440,17,0x006c0c52,0x00000000,0x00000000
1776520984.087600440,18,0x00774df3,0x00000000,0x00000000
1776520984.087600440,19,0x00a34ebc,0x00000000,0x00000000
1776520985.384817421,0,0x0253530c,0x00000000,0x00000000
1776520985.384817421,1,0x0229bfee,0x00000000,0x00000000
1776520985.384817421,2,0x029399b9,0x00000000,0x00000000
1776520985.384817421,3,0x0325e148,0x00000000,0x00000000
1776520985.384817421,4,0x01ddc3e1,0x00000000,0x00000000
1776520985.384817421,5,0x024fdc49,0x00000000,0x00000000
1776520985.384817421,6,0x01b87c0a,0x00000000,0x00000000
1776520985.384817421,7,0x01b67f29,0x00000000,0x00000000
1776520985.384817421,8,0x04085f13,0x00000000,0x00000000
1776520985.384817421,9,0x04ca697b,0x00000000,0x00000000
1776520985.384817421,10,0x02f32c93,0x00000000,0x00000000
1776520985.384817421,11,0x02ecbeb3,0x00000000,0x00000000
1776520985.384817421,12,0x01dc85eb,0x00000000,0x00000000
1776520985.384817421,13,0x0189d6a1,0x00000000,0x00000000
1776520985.384817421,14,0x030b3d8a,0x00000000,0x00000000
1776520985.384817421,15,0x02ac684b,0x00000000,0x00000000
1776520985.384817421,16,0x00a3be45,0x00000000,0x00000000
1776520985.384817421,17,0x006cf92f,0x00000000,0x00000000
1776520985.384817421,18,0x00774ee0,0x00000000,0x00000000
1776520985.384817421,19,0x00a34ecc,0x00000000,0x00000000
1776520986.506527408,0,0x02535363,0x00000000,0x00000000
1776520986.506527408,1,0x0229bfee,0x00000000,0x00000000
1776520986.506527408,2,0x029399d3,0x00000000,0x00000000
1776520986.506527408,3,0x0325e148,0x00000000,0x00000000
1776520986.506527408,4,0x01ddc3fb,0x00000000,0x00000000
1776520986.506527408,5,0x024fdc49,0x00000000,0x00000000
1776520986.506527408,6,0x01b87c4e,0x00000000,0x00000000
1776520986.506527408,7,0x01b67f29,0x00000000,0x00000000
1776520986.506527408,8,0x04085f13,0x00000000,0x00000000
1776520986.506527408,9,0x04ca697b,0x00000000,0x00000000
1776520986.506527408,10,0x02f32c93,0x00000000,0x00000000
1776520986.506527408,11,0x02ecbf24,0x00000000,0x00000000
1776520986.506527408,12,0x01dc85fa,0x00000000,0x00000000
1776520986.506527408,13,0x0189d6a1,0x00000000,0x00000000
1776520986.506527408,14,0x030b3d93,0x00000000,0x00000000
1776520986.506527408,15,0x02ac684b,0x00000000,0x00000000
1776520986.506527408,16,0x00a3d6ce,0x00000000,0x00000000
1776520986.506527408,17,0x006cf92f,0x00000000,0x00000000
1776520986.506527408,18,0x007a1823,0x00000000,0x00000000
1776520986.506527408,19,0x00a350dc,0x00000000,0x00000000
1776520987.809494366,0,0x025353aa,0x00000000,0x00000000
1776520987.809494366,1,0x0229bfee,0x00000000,0x00000000
1776520987.809494366,2,0x029399e4,0x00000000,0x00000000
1776520987.809494366,3,0x0325e148,0x00000000,0x00000000
1776520987.809494366,4,0x01ddc414,0x00000000,0x00000000
1776520987.809494366,5,0x024fdc49,0x00000000,0x00000000
1776520987.809494366,6,0x01b87caa,0x00000000,0x00000000
1776520987.809494366,7,0x01b67f29,0x00000000,0x00000000
1776520987.809494366,8,0x04085f13,0x00000000,0x00000000
1776520987.809494366,9,0x04ca697b,0x00000000,0x00000000
1776520987.809494366,10,0x02f32c93,0x00000000,0x00000000
1776520987.809494366,11,0x02ecbf85,0x00000000,0x00000000
1776520987.809494366,12,0x01dc860d,0x00000000,0x00000000
1776520987.809494366,13,0x0189d6a1,0x00000000,0x00000000
1776520987.809494366,14,0x030b3d9c,0x00000000,0x00000000
1776520987.809494366,15,0x02ac684b,0x00000000,0x00000000
1776520987.809494366,16,0x00a44bcf,0x00000000,0x00000000
1776520987.809494366,17,0x006cf941,0x00000000,0x00000000
1776520987.809494366,18,0x007c958a,0x00000000,0x00000000
1776520987.809494366,19,0x00a350e6,0x00000000,0x00000000
1776520989.024218696,0,0x025353aa,0x00000000,0x00000000
1776520989.024218696,1,0x0229bfee,0x00000000,0x00000000
1776520989.024218696,2,0x029399eb,0x00000000,0x00000000
1776520989.024218696,3,0x0325e148,0x00000000,0x00000000
1776520989.024218696,4,0x01ddc4ab,0x00000000,0x00000000
1776520989.024218696,5,0x024fdc49,0x00000000,0x00000000
1776520989.024218696,6,0x01b87cc4,0x00000000,0x00000000
1776520989.024218696,7,0x01b67f29,0x00000000,0x00000000
1776520989.024218696,8,0x04085f13,0x00000000,0x00000000
1776520989.024218696,9,0x04ca697b,0x00000000,0x00000000
1776520989.024218696,10,0x02f32c93,0x00000000,0x00000000
1776520989.024218696,11,0x02ecbfc5,0x00000000,0x00000000
1776520989.024218696,12,0x01dc8630,0x00000000,0x00000000
1776520989.024218696,13,0x0189d6a1,0x00000000,0x00000000
1776520989.024218696,14,0x030b3d9e,0x00000000,0x00000000
1776520989.024218696,15,0x02ac684b,0x00000000,0x00000000
1776520989.024218696,16,0x00a44fd7,0x00000000,0x00000000
1776520989.024218696,17,0x006cfcfe,0x00000000,0x00000000
1776520989.024218696,18,0x007d38ed,0x00000000,0x00000000
1776520989.024218696,19,0x00a352bd,0x00000000,0x00000000
1776520990.105550359,0,0x025353d2,0x00000000,0x00000000
1776520990.105550359,1,0x0229bfee,0x00000000,0x00000000
1776520990.105550359,2,0x029399eb,0x00000000,0x00000000
1776520990.105550359,3,0x0325e148,0x00000000,0x00000000
1776520990.105550359,4,0x01ddc4fe,0x00000000,0x00000000
1776520990.105550359,5,0x024fdc49,0x00000000,0x00000000
1776520990.105550359,6,0x01b87cdc,0x00000000,0x00000000
1776520990.105550359,7,0x01b67f29,0x00000000,0x00000000
1776520990.105550359,8,0x040a280b,0x00000000,0x00000000
1776520990.105550359,9,0x04ca697b,0x00000000,0x00000000
1776520990.105550359,10,0x02f32e7d,0x00000000,0x00000000
1776520990.105550359,11,0x02ecc012,0x00000000,0x00000000
1776520990.105550359,12,0x01dc8651,0x00000000,0x00000000
1776520990.105550359,13,0x0189d6a1,0x00000000,0x00000000
1776520990.105550359,14,0x030b3d9e,0x00000000,0x00000000
1776520990.105550359,15,0x02ac684b,0x00000000,0x00000000
1776520990.105550359,16,0x00a45448,0x00000000,0x00000000
1776520990.105550359,17,0x006cffbb,0x00000000,0x00000000
1776520990.105550359,18,0x007d70ff,0x00000000,0x00000000
1776520990.105550359,19,0x00a354a9,0x00000000,0x00000000
1776520991.409866593,0,0x025353d2,0x00000000,0x00000000
1776520991.409866593,1,0x0229bfee,0x00000000,0x00000000
1776520991.409866593,2,0x02939a01,0x00000000,0x00000000
1776520991.409866593,3,0x0325e148,0x00000000,0x00000000
1776520991.409866593,4,0x01ddc54c,0x00000000,0x00000000
1776520991.409866593,5,0x024fdc4d,0x00000000,0x00000000
1776520991.409866593,6,0x01b87d3e,0x00000000,0x00000000
1776520991.409866593,7,0x01b67f29,0x00000000,0x00000000
1776520991.409866593,8,0x040bb859,0x00000000,0x00000000
1776520991.409866593,9,0x04ca697b,0x00000000,0x00000000
1776520991.409866593,10,0x02f32e7f,0x00000000,0x00000000
1776520991.409866593,11,0x02ecc052,0x00000000,0x00000000
1776520991.409866593,12,0x01dc8663,0x00000000,0x00000000
1776520991.409866593,13,0x0189d6a3,0x00000000,0x00000000
1776520991.409866593,14,0x030b3d9e,0x00000000,0x00000000
1776520991.409866593,15,0x02ac684b,0x00000000,0x00000000
1776520991.409866593,16,0x00a45685,0x00000000,0x00000000
1776520991.409866593,17,0x006d01d1,0x00000000,0x00000000
1776520991.409866593,18,0x007dbba8,0x00000000,0x00000000
1776520991.409866593,19,0x00a37d80,0x00000000,0x00000000
1776520992.496940502,0,0x025353d2,0x00000000,0x00000000
1776520992.496940502,1,0x0229bfee,0x00000000,0x00000000
1776520992.496940502,2,0x02939a17,0x00000000,0x00000000
1776520992.496940502,3,0x0325e148,0x00000000,0x00000000
1776520992.496940502,4,0x01ddc57f,0x00000000,0x00000000
1776520992.496940502,5,0x024fdc4d,0x00000000,0x00000000
1776520992.496940502,6,0x01b87d5a,0x00000000,0x00000000
1776520992.496940502,7,0x01b67f29,0x00000000,0x00000000
1776520992.496940502,8,0x040bb85d,0x00000000,0x00000000
1776520992.496940502,9,0x04ca697b,0x00000000,0x00000000
1776520992.496940502,10,0x02f32e7f,0x00000000,0x00000000
1776520992.496940502,11,0x02ecc096,0x00000000,0x00000000
1776520992.496940502,12,0x01dc86af,0x00000000,0x00000000
1776520992.496940502,13,0x0189d6a3,0x00000000,0x00000000
1776520992.496940502,14,0x030b3da3,0x00000000,0x00000000
1776520992.496940502,15,0x02ac684b,0x00000000,0x00000000
1776520992.496940502,16,0x00a45844,0x00000000,0x00000000
1776520992.496940502,17,0x006e176a,0x00000000,0x00000000
1776520992.496940502,18,0x007df9ee,0x00000000,0x00000000
1776520992.496940502,19,0x00a37f73,0x00000000,0x00000000
1776520993.603810110,0,0x025353df,0x00000000,0x00000000
1776520993.603810110,1,0x0229bfee,0x00000000,0x00000000
1776520993.603810110,2,0x02939a24,0x00000000,0x00000000
1776520993.603810110,3,0x0325e148,0x00000000,0x00000000
1776520993.603810110,4,0x01ddc5cc,0x00000000,0x00000000
1776520993.603810110,5,0x024fdc4d,0x00000000,0x00000000
1776520993.603810110,6,0x01b87d9a,0x00000000,0x00000000
1776520993.603810110,7,0x01b67f29,0x00000000,0x00000000
1776520993.603810110,8,0x040bb85d,0x00000000,0x00000000
1776520993.603810110,9,0x04ca697b,0x00000000,0x00000000
1776520993.603810110,10,0x02f32e7f,0x00000000,0x00000000
1776520993.603810110,11,0x02ecc0dd,0x00000000,0x00000000
1776520993.603810110,12,0x01dc86d1,0x00000000,0x00000000
1776520993.603810110,13,0x0189d6a3,0x00000000,0x00000000
1776520993.603810110,14,0x030b3da5,0x00000000,0x00000000
1776520993.603810110,15,0x02ac684b,0x00000000,0x00000000
1776520993.603810110,16,0x00a45a1c,0x00000000,0x00000000
1776520993.603810110,17,0x006eb8cc,0x00000000,0x00000000
1776520993.603810110,18,0x007df9ee,0x00000000,0x00000000
1776520993.603810110,19,0x00a3837b,0x00000000,0x00000000
1776520994.696621269,0,0x025353e8,0x00000000,0x00000000
1776520994.696621269,1,0x022a0783,0x00000000,0x00000000
1776520994.696621269,2,0x02939a2e,0x00000000,0x00000000
1776520994.696621269,3,0x0325e14a,0x00000000,0x00000000
1776520994.696621269,4,0x01ddc5cc,0x00000000,0x00000000
1776520994.696621269,5,0x024fdc4d,0x00000000,0x00000000
1776520994.696621269,6,0x01b87da0,0x00000000,0x00000000
1776520994.696621269,7,0x01b67f29,0x00000000,0x00000000
1776520994.696621269,8,0x040bb85d,0x00000000,0x00000000
1776520994.696621269,9,0x04ca697b,0x00000000,0x00000000
1776520994.696621269,10,0x02f32e7f,0x00000000,0x00000000
1776520994.696621269,11,0x02ecc160,0x00000000,0x00000000
1776520994.696621269,12,0x01dc86e0,0x00000000,0x00000000
1776520994.696621269,13,0x0189d6dd,0x00000000,0x00000000
1776520994.696621269,14,0x030eaa3d,0x00000000,0x00000000
1776520994.696621269,15,0x02ac684b,0x00000000,0x00000000
1776520994.696621269,16,0x00a45bf8,0x00000000,0x00000000
1776520994.696621269,17,0x006ec819,0x00000000,0x00000000
1776520994.696621269,18,0x007dfb7c,0x00000000,0x00000000
1776520994.696621269,19,0x00a383a3,0x00000000,0x00000000
1776520996.024684294,0,0x02542996,0x00000000,0x00000000
1776520996.024684294,1,0x022a17f5,0x00000000,0x00000000
1776520996.024684294,2,0x02939a38,0x00000000,0x00000000
1776520996.024684294,3,0x0325e14a,0x00000000,0x00000000
1776520996.024684294,4,0x01ddc5ce,0x00000000,0x00000000
1776520996.024684294,5,0x024fdc4d,0x00000000,0x00000000
1776520996.024684294,6,0x01b87db1,0x00000000,0x00000000
1776520996.024684294,7,0x01b67f29,0x00000000,0x00000000
1776520996.024684294,8,0x040bb85d,0x00000000,0x00000000
1776520996.024684294,9,0x04ca697b,0x00000000,0x00000000
1776520996.024684294,10,0x02f32e7f,0x00000000,0x00000000
1776520996.024684294,11,0x02ecc1fc,0x00000000,0x00000000
1776520996.024684294,12,0x01dc86f1,0x00000000,0x00000000
1776520996.024684294,13,0x0189d6dd,0x00000000,0x00000000
1776520996.024684294,14,0x0311b107,0x00000000,0x00000000
1776520996.024684294,15,0x02ac684b,0x00000000,0x00000000
1776520996.024684294,16,0x00a45bf8,0x00000000,0x00000000
1776520996.024684294,17,0x006ec819,0x00000000,0x00000000
1776520996.024684294,18,0x007dfb7c,0x00000000,0x00000000
1776520996.024684294,19,0x00a383ca,0x00000000,0x00000000
1776520997.327629775,0,0x0257905d,0x00000000,0x00000000
1776520997.327629775,1,0x022bec80,0x00000000,0x00000000
1776520997.327629775,2,0x02939a45,0x00000000,0x00000000
1776520997.327629775,3,0x0325e14a,0x00000000,0x00000000
1776520997.327629775,4,0x01ddc5ce,0x00000000,0x00000000
1776520997.327629775,5,0x024fdc4d,0x00000000,0x00000000
1776520997.327629775,6,0x01b87db1,0x00000000,0x00000000
1776520997.327629775,7,0x01b67f29,0x00000000,0x00000000
1776520997.327629775,8,0x040bb864,0x00000000,0x00000000
1776520997.327629775,9,0x04ca697b,0x00000000,0x00000000
1776520997.327629775,10,0x02f32e7f,0x00000000,0x00000000
1776520997.327629775,11,0x02ecc27c,0x00000000,0x00000000
1776520997.327629775,12,0x01dc870d,0x00000000,0x00000000
1776520997.327629775,13,0x0189d6ed,0x00000000,0x00000000
1776520997.327629775,14,0x0311b10e,0x00000000,0x00000000
1776520997.327629775,15,0x02ac684d,0x00000000,0x00000000
1776520997.327629775,16,0x00a45bf8,0x00000000,0x00000000
1776520997.327629775,17,0x006ec819,0x00000000,0x00000000
1776520997.327629775,18,0x007dfb7c,0x00000000,0x00000000
1776520997.327629775,19,0x00a383f7,0x00000000,0x00000000
1776520998.643605934,0,0x025a3080,0x00000000,0x00000000
1776520998.643605934,1,0x022f15f7,0x00000000,0x00000000
1776520998.643605934,2,0x02939a59,0x00000000,0x00000000
1776520998.643605934,3,0x0325e14a,0x00000000,0x00000000
1776520998.643605934,4,0x01ddc5ce,0x00000000,0x00000000
1776520998.643605934,5,0x024fdc4d,0x00000000,0x00000000
1776520998.643605934,6,0x01b87dbb,0x00000000,0x00000000
1776520998.643605934,7,0x01b67f29,0x00000000,0x00000000
1776520998.643605934,8,0x040bb867,0x00000000,0x00000000
1776520998.643605934,9,0x04ca697b,0x00000000,0x00000000
1776520998.643605934,10,0x02f32e7f,0x00000000,0x00000000
1776520998.643605934,11,0x02ecc2e2,0x00000000,0x00000000
1776520998.643605934,12,0x01dc870d,0x00000000,0x00000000
1776520998.643605934,13,0x0189d72f,0x00000000,0x00000000
1776520998.643605934,14,0x0311b146,0x00000000,0x00000000
1776520998.643605934,15,0x02ac6852,0x00000000,0x00000000
