timestamp,tcp_inuse,tcp_mem_pages
1776518890.969809551,50,0
1776518891.976446085,50,0
1776518892.990450415,50,0
1776518893.999445312,50,0
1776518895.009544792,50,0
1776518896.024582349,50,439
1776518897.036545278,50,0
1776518898.049552525,50,0
1776518899.060472930,50,0
1776518900.073519893,50,0
1776518901.084553391,50,0
1776518902.098552668,50,0
1776518903.107850301,50,0
1776518904.118514042,50,0
1776518905.127529417,50,0
1776518906.138570064,50,0
1776518907.149571287,50,0
1776518908.163534803,50,0
1776518909.172535048,52,0
1776518910.189520314,52,0
1776518911.202608527,52,0
1776518912.216532345,52,0
1776518913.227842408,52,0
1776518914.239464302,52,0
1776518915.251586809,50,0
1776518916.260512178,50,0
1776518917.273515041,50,0
1776518918.283720007,49,391
1776518919.297529705,49,303
1776518920.306536422,49,1021
1776518921.317872021,49,641
1776518922.333660163,49,677
1776518923.340620930,49,0
1776518924.350656529,49,690
1776518925.361534183,49,462
1776518926.388508680,49,566
1776518927.396553176,49,870
1776518928.406512888,49,0
1776518929.416518159,49,225
1776518930.426759309,49,688
1776518931.437415545,49,901
1776518932.454566856,49,239
1776518933.463554240,49,668
1776518934.473530706,49,0
1776518935.484584630,49,0
1776518936.499504540,49,0
1776518937.514514064,49,0
1776518938.526530299,49,0
1776518939.543587984,50,0
1776518940.552571291,50,0
1776518941.564428875,50,0
1776518942.572534414,50,0
1776518943.588643416,50,0
1776518944.597582812,50,362
1776518945.610552090,50,1442
1776518946.622540207,50,1629
1776518947.633355507,50,1507
1776518948.645220882,50,1336
1776518949.657080171,50,1718
1776518950.672612579,50,101
1776518951.685590060,50,767
1776518952.696548458,50,1701
1776518953.707500478,50,1277
1776518954.719560722,50,1756
1776518955.734511236,50,940
1776518956.743263530,50,431
1776518957.750490572,50,1674
1776518958.763830884,50,1772
1776518959.777499605,50,1401
1776518960.785382370,50,0
1776518961.799634517,50,0
1776518962.814678632,50,0
1776518963.825590046,50,0
1776518964.833481112,50,0
1776518965.842194533,50,0
