timestamp,retrans_segs,in_segs,out_segs
1776518890.969676660,8866,148190,144125
1776518891.976555924,8866,148257,144189
1776518892.989445691,8866,148309,144239
1776518894.007420063,8866,148371,144303
1776518895.016191970,8866,148413,144342
1776518896.028536066,8866,148448,144375
1776518897.039499643,8866,148487,144413
1776518898.057456767,8866,148544,144473
1776518899.068454703,8866,148585,144511
1776518900.078529327,8866,148621,144544
1776518901.090796111,8866,148658,144579
1776518902.103060783,8866,148710,144630
1776518903.115531979,8866,148768,144686
1776518904.125243220,8866,148811,144728
1776518905.135480965,8866,148848,144762
1776518906.145532049,8866,148946,144840
1776518907.159420211,8866,148999,144894
1776518908.170504683,8866,149072,144963
1776518909.181486829,8866,149190,145090
1776518910.196490436,8866,149243,145141
1776518911.202611673,8866,149298,145197
1776518912.211584659,8866,149335,145232
1776518913.224499217,8867,149380,145275
1776518914.235579575,8867,149418,145309
1776518915.246573930,8867,149465,145355
1776518916.261564761,8867,149509,145398
1776518917.272531572,8867,149546,145433
1776518918.283719949,8867,149606,145489
1776518919.294679182,8867,149650,145531
1776518920.304659704,8867,149706,145587
1776518921.317872215,8867,149751,145629
1776518922.333660168,8867,149805,145686
1776518923.341564388,8867,149867,145746
1776518924.353631514,8867,149918,145792
1776518925.363495534,8867,149969,145842
1776518926.374694509,8867,150008,145881
1776518927.384656695,8867,150048,145922
1776518928.396510679,8867,150109,145981
1776518929.407683502,8868,150159,146027
1776518930.419610686,8868,150204,146070
1776518931.428678392,8868,150243,146109
1776518932.439714070,8868,150295,146158
1776518933.449661638,8868,150358,146220
1776518934.460550517,8868,150403,146265
1776518935.470620028,8868,150447,146310
1776518936.483422830,8868,150490,146350
1776518937.497437227,8868,150553,146413
1776518938.511646157,8868,150604,146459
1776518939.525507228,8868,150701,146566
1776518940.539653561,8869,150772,146635
1776518941.552631699,8870,150817,146676
1776518942.564608227,8870,150868,146727
1776518943.576526796,8870,150926,146781
1776518944.587716356,8870,150965,146821
1776518945.600760993,8870,151012,146869
1776518946.614677004,8870,151067,146920
1776518947.629603238,8870,151117,146968
1776518948.640584931,8870,151153,147005
1776518949.653495462,8870,151200,147052
1776518950.667656913,8870,151251,147102
1776518951.682575743,8870,151291,147141
1776518952.693639282,8870,151341,147190
1776518953.704539051,8870,151400,147246
1776518954.718725446,8870,151449,147295
1776518955.729615056,8870,151490,147333
1776518956.741584696,8870,151524,147368
1776518957.753553077,8870,151579,147424
1776518958.763528666,8870,151630,147476
1776518959.785361410,8870,151676,147522
1776518960.797513213,8870,151719,147564
1776518961.810555970,8870,151760,147606
1776518962.822660886,8870,151827,147669
1776518963.836523075,8870,151889,147728
1776518964.851467180,8870,151926,147766
1776518965.858492151,8870,151975,147809
