timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1776519075.461838872,cpu0,826611,941,13434,1060342,2518,0,2625,0
1776519075.461838872,cpu1,1181114,594,10766,714954,1677,0,2040,0
1776519075.461838872,cpu2,964937,684,21778,923444,2259,0,2989,0
1776519075.461838872,cpu3,1032561,520,20113,858274,2069,0,2889,0
1776519075.461838872,cpu4,1022718,545,7181,883388,1978,0,639,0
1776519075.461838872,cpu5,1002091,745,7103,903971,1995,0,619,0
1776519075.461838872,cpu6,1019790,515,9382,883717,1973,0,933,0
1776519075.461838872,cpu7,1000030,506,9262,903590,1980,0,1189,0
1776519075.461838872,cpu8,1202075,637,17595,692544,1570,0,2527,0
1776519075.461838872,cpu9,807647,533,21298,1080509,2474,0,2977,0
1776519075.461838872,cpu10,964535,760,16591,928890,3104,0,1989,0
1776519075.461838872,cpu11,1050895,721,17626,838493,2617,0,4440,0
1776519075.461838872,cpu12,1026553,689,12630,871589,2907,0,1688,0
1776519075.461838872,cpu13,989735,416,10174,911804,2876,0,1200,0
1776519075.461838872,cpu14,1158766,549,10102,743685,2142,0,1383,0
1776519075.461838872,cpu15,863840,614,11950,1035033,2905,0,1630,0
1776519075.461838872,cpu16,1860908,198,6443,50210,77,0,649,0
1776519075.461838872,cpu17,1862767,64,4708,50387,76,0,471,0
1776519075.461838872,cpu18,1859624,65,7548,50282,69,0,915,0
1776519075.461838872,cpu19,1860280,71,6996,50199,60,0,914,0
1776519076.473388784,cpu0,826712,941,13434,1060342,2518,0,2625,0
1776519076.473388784,cpu1,1181213,594,10767,714954,1677,0,2040,0
1776519076.473388784,cpu2,965028,684,21787,923445,2259,0,2989,0
1776519076.473388784,cpu3,1032628,520,20147,858275,2069,0,2889,0
1776519076.473388784,cpu4,1022812,546,7185,883390,1978,0,639,0
1776519076.473388784,cpu5,1002192,746,7103,903971,1995,0,619,0
1776519076.473388784,cpu6,1019891,515,9382,883717,1973,0,933,0
1776519076.473388784,cpu7,1000131,506,9262,903590,1980,0,1189,0
1776519076.473388784,cpu8,1202176,637,17596,692544,1570,0,2527,0
1776519076.473388784,cpu9,807748,533,21298,1080510,2474,0,2977,0
1776519076.473388784,cpu10,964636,760,16592,928890,3104,0,1989,0
1776519076.473388784,cpu11,1050994,721,17627,838493,2617,0,4440,0
1776519076.473388784,cpu12,1026602,689,12678,871595,2908,0,1688,0
1776519076.473388784,cpu13,989784,416,10226,911804,2876,0,1200,0
1776519076.473388784,cpu14,1158845,549,10121,743688,2142,0,1383,0
1776519076.473388784,cpu15,863921,614,11968,1035034,2905,0,1630,0
1776519076.473388784,cpu16,1861008,198,6443,50210,77,0,649,0
1776519076.473388784,cpu17,1862868,64,4708,50387,76,0,471,0
1776519076.473388784,cpu18,1859687,65,7584,50283,69,0,915,0
1776519076.473388784,cpu19,1860381,71,6996,50199,60,0,914,0
1776519077.481880134,cpu0,826805,941,13441,1060342,2518,0,2625,0
