experiment,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,mean_us,ctx_switches,voluntary,throughput_gbps,retransmits,time_squeeze,migrations,softirq_cpu_pct
E1,4.33,20.67,58.0,128.0,571.96,2346.92,36.8,33027217,20239576,0.1,3,0,6043713,16.63
E2,4.67,20.33,66.67,150.22,615.8,2167.8,38.43,34710925,20841184,14.92,4,0,4540653,20.44
E3,4.67,16.67,55.33,141.33,732.75,3089.39,54.53,34493826,20425539,0.1,1,0,6011196,8.71
E4,5.0,19.0,65.33,173.33,880.72,3060.2,50.43,34710679,20908806,8.09,2,0,5976689,10.14
E5,4.0,8.0,34.33,99.0,695.25,3059.07,38.03,37980945,21324232,9.21,0,0,7319205,8.88
E6,3.67,6.67,28.0,78.22,606.84,2792.16,30.93,38395097,21198908,9.02,0,0,7098688,8.99
E7,4.67,15.0,38.67,111.93,677.17,2738.1,37.28,35610568,22403385,7.94,0,0,3452190,8.39
E8,5.0,16.67,46.0,146.98,716.59,2788.43,41.08,35452064,22449784,7.9,6,0,3420624,8.39
E9,3.67,7.67,31.67,98.0,635.64,2859.25,35.15,38194668,21328084,8.99,5,0,7034266,8.76
E10,3.67,6.67,30.67,91.83,623.46,2797.6,33.92,38396297,21354595,9.14,1,31,7088338,8.84
E11,3.67,8.33,42.67,117.33,576.4,2707.31,33.82,36724855,20829566,0.47,1,0,1368446,24.4
E12,3.67,6.67,29.33,83.67,586.12,3162.5,34.89,38272345,21167557,0.3,1,0,7033467,12.67
E13,3.67,9.0,48.67,143.67,692.47,2921.89,38.61,37034383,21050243,15.3,4,0,1164186,15.77
E14,5.0,16.67,45.0,135.33,694.82,2805.5,41.16,36051150,22805539,8.13,1,0,3429165,8.55
E15,36.33,109.33,242.4,425.23,1560.59,4003.68,121.05,28975575,21898143,8.13,2,0,3168108,7.37
E16,36.0,107.58,237.7,424.68,1518.04,3984.12,119.87,28987595,21890895,7.99,1,0,3162929,7.5
